id,attr_time,attr_x,attr_y,attr_z
1,1436892348001,-1.608305,8.8088665,3.8923733
2,1436892348018,-1.5406688,8.696938,3.7984009
3,1436892348040,-1.484405,8.656835,3.8031895
4,1436892348061,-1.4317327,8.68796,3.863643
5,1436892348080,-1.4814123,8.684368,3.9552212
6,1436892348100,-1.4969746,8.639477,3.7852328
7,1436892348120,-1.5472529,8.640076,3.7702692
8,1436892348142,-1.5783775,8.651448,3.8019924
9,1436892348162,-1.5065514,8.655039,3.8774097
10,1436892348183,-1.4562732,8.738237,3.9863458
11,1436892348200,-1.4862007,8.8364,3.8983588
12,1436892348221,-1.4730326,8.881889,3.8863878
13,1436892348240,-1.3186066,8.802282,3.9558198
14,1436892348259,-1.287482,8.678383,3.952827
15,1436892348279,-1.429937,8.473679,3.928885
16,1436892348371,-1.6424223,8.462306,3.9001546
17,1436892348372,-1.8902222,8.475474,3.7008374
18,1436892348373,-1.9728222,8.473679,3.7223852
19,1436892348374,-2.0135236,8.542512,3.651756
20,1436892348394,-2.0093338,8.556877,3.8121676
21,1436892348408,-1.8549078,8.595782,3.7337575
22,1436892348430,-1.6376339,8.6334915,3.7391446
23,1436892348438,-1.54845,8.67539,3.86903
24,1436892348469,-1.4796166,8.641273,3.8618474
25,1436892348492,-1.4401124,8.659229,3.793014
26,1436892348499,-1.435324,8.689157,3.714604
27,1436892348518,-1.4766239,8.789114,3.7283707
28,1436892348538,-1.5358804,8.946533,3.6882677
29,1436892348561,-1.5125369,8.955511,3.763685
30,1436892348579,-1.4754268,8.89805,3.8349125
31,1436892348600,-1.4275428,8.802881,3.7618895
32,1436892348618,-1.4317327,8.761581,3.833117
33,1436892348640,-1.4856021,8.735245,3.7846344
34,1436892348662,-1.5292963,8.721478,3.6661212
35,1436892348680,-1.5328877,8.688558,3.6296098
36,1436892348700,-1.5095441,8.676587,3.6487634
37,1436892348718,-1.4520833,8.684368,3.7469256
38,1436892348740,-1.3862427,8.740632,3.855862
39,1436892348760,-1.3545196,8.750209,3.8714242
40,1436892348782,-1.323395,8.787917,3.945046
41,1436892348798,-1.3066356,8.774749,3.8684313
42,1436892348818,-1.3868413,8.733449,3.9402575
43,1436892348839,-1.5113398,8.747814,3.9378633
44,1436892348862,-1.6567876,8.813655,3.9630024
45,1436892348879,-1.7130513,8.74961,3.8486793
46,1436892348899,-1.6394296,8.662222,3.674501
47,1436892348920,-1.5795746,8.631696,3.7391446
48,1436892348939,-1.5699978,8.631696,3.8055837
49,1436892348958,-1.5807717,8.66701,3.8504748
50,1436892348978,-1.6190789,8.681973,3.8241386
51,1436892348999,-1.6903064,8.661025,3.7978024
52,1436892349020,-1.7663223,8.674192,3.788824
53,1436892349045,-1.7896658,8.710705,3.8205473
54,1436892349058,-1.8219875,8.72507,3.8612487
55,1436892349079,-1.8477252,8.766968,3.8588545
56,1436892349098,-1.7986441,8.668207,3.8175547
57,1436892349119,-1.7525556,8.6095495,3.8283286
58,1436892349139,-1.7351977,8.617331,3.815759
59,1436892349158,-1.7405846,8.701127,3.8426938
60,1436892349180,-1.7166426,8.797494,3.912724
61,1436892349200,-1.6807296,8.789713,3.8774097
62,1436892349223,-1.6837224,8.723872,3.891775
63,1436892349242,-1.6873137,8.583812,3.8618474
