id,attr_time,attr_x,attr_y,attr_z
1,1437152993013,1.3341689,9.599552,-1.0875661
2,1437152993033,1.3275849,9.680356,-1.0642227
3,1437152993051,1.3245921,9.758167,-1.1049241
4,1437152993073,1.3078327,9.797073,-1.0761937
5,1437152993104,1.3341689,9.673173,-1.0229226
6,1437152993114,1.2599486,9.660604,-0.95827925
7,1437152993130,1.1959038,9.744401,-0.89782566
8,1437152993150,1.3132197,9.64564,-1.0169371
9,1437152993171,1.3754689,9.49301,-1.1252748
10,1437152993190,1.3263878,9.463082,-0.9624691
11,1437152993213,1.2593501,9.643246,-0.91099375
12,1437152993234,1.2862848,9.628283,-0.9840169
13,1437152993253,1.270124,9.559449,-1.003769
14,1437152993273,1.3682863,9.452309,-1.0271125
15,1437152993296,1.4095862,9.502586,-0.9804256
16,1437152993312,1.3670892,9.560646,-0.9828198
17,1437152993335,1.2791022,9.574412,-1.0193313
18,1437152993353,1.3144168,9.609129,-1.0881647
19,1437152993373,1.4341269,9.722255,-1.1905168
20,1437152993395,1.4718355,9.726444,-1.0109516
21,1437152993413,1.4808137,9.746197,-0.91817635
22,1437152993432,1.5717934,9.7863,-1.0019734
23,1437152993450,1.4401124,9.648034,-0.9044097
24,1437152993471,1.3281834,9.568427,-0.9044097
25,1437152993492,1.3084313,9.408015,-0.92296475
26,1437152993514,1.2922704,9.375694,-0.9540894
27,1437152993534,1.292869,9.419388,-1.0498575
28,1437152993554,1.316811,9.563639,-1.0995371
29,1437152993574,1.2372037,9.723452,-1.0803835
30,1437152993593,1.1803415,9.798869,-1.0283096
31,1437152993612,1.1019313,9.61272,-0.9816227
32,1437152993637,1.0516531,9.486425,-1.0169371
33,1437152993653,1.0169371,9.567828,-1.0606314
34,1437152993671,1.0450691,9.647436,-1.158195
35,1437152993691,1.0785879,9.676167,-1.1965023
36,1437152993711,1.0911574,9.620501,-1.0869676
37,1437152993742,1.0432734,9.543886,-1.050456
38,1437152993838,0.9828198,9.498995,-1.1210849
39,1437152993839,0.94570965,9.473258,-1.127669
40,1437152993840,0.908001,9.572617,-1.110311
41,1437152993841,0.98581254,9.607931,-1.3341689
42,1437152993842,1.0474633,9.639056,-1.3730747
43,1437152993857,1.049259,9.609129,-1.395221
44,1437152993874,0.9516952,9.643246,-1.1749545
45,1437152993894,0.9367314,9.811439,-1.0761937
46,1437152993911,0.95947635,9.776723,-1.4431051
47,1437152993942,0.9427169,9.487024,-1.590947
48,1437152993965,0.83018947,9.481039,-1.2551602
49,1437152993971,0.83737206,9.723452,-1.1617863
50,1437152993992,0.9720459,9.752182,-1.3293805
51,1437152994011,0.89662856,9.688137,-1.3144168
52,1437152994031,0.80086046,9.609727,-1.3413515
53,1437152994051,0.80564886,9.539697,-1.3533225
54,1437152994071,0.7769185,9.524135,-1.3623008
55,1437152994094,0.741604,9.402629,-1.3395559
56,1437152994111,0.7721301,9.419388,-1.3018472
57,1437152994132,0.86370826,9.582792,-1.4287399
58,1437152994153,0.842759,9.519944,-1.2467805
59,1437152994174,0.8900445,9.536704,-1.3078327
60,1437152994193,0.90740246,9.625888,-1.292869
61,1437152994215,0.8900445,9.614515,-1.3144168
62,1437152994235,0.7739257,9.69532,-1.264737
63,1437152994253,0.6991069,9.7324295,-1.1791444
64,1437152994272,0.6135142,9.767146,-1.228824
65,1437152994292,0.6218939,9.766547,-1.3251907
66,1437152994312,0.6278794,9.718663,-1.4341269
67,1437152994334,0.60094464,9.712678,-1.4431051
68,1437152994354,0.64942724,9.750985,-1.4059949
69,1437152994374,0.6703765,9.718064,-1.3688848
70,1437152994394,0.6362591,9.661202,-1.311424
71,1437152994413,0.57041854,9.609129,-1.2707225
72,1437152994431,0.6512229,9.561843,-1.3563153
73,1437152994453,0.7338228,9.55047,-1.3431472
74,1437152994474,0.75118077,9.503783,-1.2635399
75,1437152994495,0.7673417,9.515156,-1.1899183
76,1437152994522,0.83617496,9.540894,-1.1731589
77,1437152994532,0.89662856,9.515156,-1.1456255
78,1437152994551,0.84575176,9.536105,-1.1348516
79,1437152994571,0.75596917,9.70789,-1.1420342
80,1437152994594,0.7044938,9.776124,-1.276708
81,1437152994613,0.7074866,9.771336,-1.0606314
82,1437152994633,0.7918822,9.885659,-1.1839328
83,1437152994651,0.88166475,9.726444,-1.2354081
84,1437152994675,0.7846996,9.461287,-1.3670892
85,1437152994696,0.7733272,9.466674,-1.2384008
86,1437152994716,0.7158663,9.607931,-1.18094
87,1437152994731,0.7727286,9.668983,-1.2515689
88,1437152994753,0.86131406,9.654019,-1.246182
89,1437152994775,0.92296475,9.583391,-1.2467805
90,1437152994795,0.8846575,9.535507,-1.2671312
91,1437152994815,0.7906851,9.589376,-1.2336124
92,1437152994836,0.7230489,9.651027,-1.2306197
93,1437152994858,0.7882909,9.63726,-1.2312182
94,1437152994873,0.91458505,9.761759,-1.3862427
95,1437152994892,0.8194155,9.66659,-1.1947067
96,1437152994914,0.8026561,9.618107,-1.1797429
97,1437152994933,0.8331822,9.664195,-1.2180501
98,1437152994953,0.7781156,9.619304,-1.1216835
99,1437152994977,0.7577648,9.660006,-1.1186907
100,1437152994997,0.8110358,9.648633,-1.1043255
101,1437152995018,0.8762778,9.653421,-1.1150994
102,1437152995036,0.88645315,9.650429,-1.13964
103,1437152995054,0.8900445,9.603143,-1.186327
104,1437152995076,0.83378077,9.591172,-1.2012907
105,1437152995092,0.88166475,9.591172,-1.2389994
106,1437152995113,0.91697925,9.549872,-1.2318168
107,1437152995160,0.93852705,9.516354,-1.2138603
108,1437152995161,0.97144735,9.536105,-1.2401965
109,1437152995172,0.9720459,9.642648,-1.2389994
110,1437152995193,0.9959879,9.695918,-1.2449849
111,1437152995214,1.0283096,9.640253,-1.2210429
112,1437152995234,0.9959879,9.630676,-1.22224
113,1437152995252,0.9804256,9.596559,-1.2497733
114,1437152995280,0.9636662,9.603143,-1.2563573
115,1437152995295,0.96785605,9.749189,-1.287482
116,1437152995318,0.9235633,9.700109,-1.3078327
117,1437152995333,0.91338795,9.710283,-1.1994951
118,1437152995352,0.94690675,9.787497,-1.228824
119,1437152995374,1.0151415,9.768343,-1.283292
120,1437152995394,1.0666169,9.704298,-1.4347254
121,1437152995416,1.0803835,9.589376,-1.2300211
122,1437152995436,0.98700964,9.725247,-1.0456676
123,1437152995456,0.9864111,9.704298,-1.1186907
124,1437152995476,1.103727,9.643246,-1.1665748
125,1437152995496,1.0714053,9.511565,-1.122282
126,1437152995516,1.1031284,9.435549,-1.1228806
127,1437152995534,1.0767922,9.519346,-1.0953473
128,1437152995553,1.0420763,9.594165,-1.1097125
129,1437152995573,1.049259,9.610326,-1.0929531
130,1437152995595,1.0570401,9.661202,-1.2150574
131,1437152995616,1.0169371,9.506178,-1.0953473
132,1437152995636,1.0319009,9.544485,-1.1001357
133,1437152995656,0.9995792,9.737817,-1.0749966
134,1437152995676,0.93972415,9.749788,-1.050456
135,1437152995695,0.9588778,9.743802,-1.0785879
136,1437152995716,0.9947908,9.707291,-1.0432734
137,1437152995737,0.9780314,9.642648,-1.0402806
138,1437152995756,0.88765025,9.57142,-1.0755951
139,1437152995775,0.9828198,9.48044,-1.2192472
140,1437152995794,1.0319009,9.431359,-1.1845313
141,1437152995814,0.9768343,9.432556,-1.0905589
142,1437152995833,0.87089086,9.4295635,-1.1246762
143,1437152995854,0.8870517,9.551667,-1.3263878
144,1437152995928,1.1593921,9.632472,-1.2970588
145,1437152995929,1.228824,9.673173,-1.3928268
146,1437152995930,1.3299791,9.70789,-1.3988123
147,1437152995937,1.395221,9.592968,-1.4251486
148,1437152995953,1.2509704,9.507375,-1.3838485
149,1437152995974,1.2635399,9.425373,-1.3269863
150,1437152995994,1.3257892,9.475652,-1.2192472
151,1437152996021,1.186327,9.613318,-1.0115502
152,1437152996033,1.1671734,9.7162695,-1.2671312
153,1437152996084,0.84575176,9.8042555,-1.2378023
154,1437152996085,0.9947908,9.796474,-1.5658079
155,1437152996095,0.9959879,9.6049385,-1.3862427
156,1437152996113,0.95468795,9.740809,-1.2629414
157,1437152996136,1.2030864,9.808446,-1.4383167
158,1437152996157,1.0905589,9.675568,-1.2737153
159,1437152996177,1.0887632,9.528324,-1.3006501
160,1437152996198,1.1444284,9.287108,-1.2126632
161,1437152996217,1.340753,9.27394,-1.0307038
162,1437152996235,1.5891514,9.627085,-0.99179804
163,1437152996254,1.6448165,9.79827,-1.1833342
164,1437152996274,1.5568297,9.647436,-1.2120646
165,1437152996298,1.4077905,9.516354,-1.1043255
166,1437152996314,1.2252327,9.631275,-1.0055647
167,1437152996336,1.0875661,9.60853,-0.9720459
168,1437152996359,1.0684125,9.580399,-1.0342951
169,1437152996376,1.1731589,9.505579,-1.0067618
170,1437152996397,1.1025299,9.458294,-0.9187749
171,1437152996416,0.9187749,9.614515,-0.91817635
172,1437152996440,0.95588505,9.64145,-1.1647792
173,1437152996455,0.8283938,9.592369,-1.067814
174,1437152996474,0.8170213,9.787497,-1.0241197
175,1437152996495,0.8738836,9.685743,-1.1073183
176,1437152996515,0.8074445,9.606734,-1.1186907
177,1437152996535,0.7146692,9.654618,-1.0666169
178,1437152996554,0.7392098,9.716867,-1.1025299
179,1437152996576,0.8834604,9.667188,-1.2186487
180,1437152996627,0.8834604,9.639056,-1.210269
181,1437152996628,0.75956047,9.652225,-1.2036849
182,1437152996635,0.9415198,9.483433,-1.0815806
183,1437152996654,0.9391256,9.560646,-0.96306765
184,1437152996674,0.8194155,9.850345,-1.0779893
185,1437152996696,0.96546185,9.598953,-1.3425486
186,1437152996714,0.9923966,9.476251,-1.2246342
187,1437152996735,0.93254155,9.725247,-1.0295067
188,1437152996754,0.94211835,9.755175,-1.1695676
189,1437152996774,0.9828198,9.686341,-1.1522095
190,1437152996796,1.0031705,9.753379,-1.1091139
191,1437152996816,1.091756,9.694122,-1.1731589
192,1437152996837,1.1641805,9.662998,-1.1719618
193,1437152996857,1.0049661,9.607333,-1.01574
194,1437152996875,1.01574,9.632472,-0.94211835
195,1437152996894,1.0881647,9.656414,-1.0720038
196,1437152996914,1.0600328,9.52174,-1.0043676
197,1437152996935,1.1695676,9.630676,-1.1174936
198,1437152996956,1.1785458,9.652225,-1.055843
199,1437152996976,1.1947067,9.598354,-1.0552444
200,1437152996997,1.1755531,9.583391,-1.0031705
201,1437152997017,1.168969,9.662998,-0.99538934
202,1437152997035,1.2228385,9.724648,-1.0510546
203,1437152997056,1.283292,9.665392,-1.1210849
204,1437152997079,1.2707225,9.5809965,-1.0755951
205,1437152997095,1.2431892,9.618706,-0.9959879
206,1437152997116,1.2030864,9.616311,-0.93254155
207,1437152997135,1.1432313,9.583989,-0.9840169
208,1437152997155,1.1061212,9.642648,-1.0851719
209,1437152997176,1.1330559,9.697116,-1.1988965
210,1437152997197,1.1186907,9.676167,-1.1546037
211,1437152997216,1.1115081,9.660604,-1.1234791
212,1437152997236,1.0899603,9.595961,-1.0755951
213,1437152997256,1.0666169,9.569026,-1.0821792
214,1437152997278,1.1073183,9.478046,-1.234211
215,1437152997404,1.1013328,9.467871,-1.0402806
216,1437152997406,1.0953473,9.621698,-1.1282675
217,1437152997409,1.0971429,9.648633,-1.2892777
218,1437152997410,1.1725603,9.465476,-1.371279
219,1437152997411,1.1318588,9.43076,-1.22224
220,1437152997412,1.0726024,9.721656,-1.0702082
221,1437152997429,1.0175357,9.774328,-1.1145009
222,1437152997435,0.9271546,9.652225,-1.1791444
223,1437152997456,0.92176765,9.5492735,-1.2868834
224,1437152997475,1.0420763,9.5971575,-1.3425486
225,1437152997524,1.1055226,9.681553,-1.3545196
226,1437152997525,1.1623849,9.734824,-1.2707225
227,1437152997536,1.1839328,9.787497,-1.1737574
228,1437152997560,1.1965023,9.7803135,-1.1641805
229,1437152997575,1.1234791,9.507974,-1.1522095
230,1437152997598,1.216853,9.510966,-1.2312182
231,1437152997617,1.1426327,9.548077,-1.1522095
232,1437152997636,1.0803835,9.633669,-1.1749545
233,1437152997656,0.99658644,9.7084875,-1.1522095
234,1437152997675,1.0049661,9.73662,-1.1845313
235,1437152997695,1.0253168,9.704897,-1.2234371
