id,attr_time,attr_x,attr_y,attr_z
1,1436170463006,0.58777654,9.683948,-0.48123455
2,1436170463026,0.59615624,9.688137,-0.40581718
3,1436170463046,0.56443304,9.712079,-0.3585317
4,1436170463066,0.53689975,9.7479925,-0.027533319
5,1436170463086,0.58538234,9.662998,-0.23822308
6,1436170463110,0.61171854,9.580399,-0.7577648
7,1436170463128,0.55725044,9.561843,-0.78649527
8,1436170463157,0.65062433,9.560646,-0.87328506
9,1436170463166,0.7116765,9.662998,-0.57640404
10,1436170463277,0.56922144,9.916184,-0.41000703
11,1436170463278,0.5482722,9.752781,-0.3800795
12,1436170463279,0.59615624,9.662399,-0.4794389
13,1436170463280,0.6027403,9.606135,-0.7104794
14,1436170463281,0.7182605,9.579201,-0.78170687
15,1436170463289,0.7272388,9.767146,-0.30765492
16,1436170463308,0.7164649,9.806051,-0.27593175
17,1436170463334,0.694917,9.800665,-0.40581718
18,1436170463346,0.65660983,9.80665,-0.31364042
19,1436170463366,0.6607997,9.709685,-0.492607
20,1436170463386,0.623091,9.646837,-0.45429978
21,1436170463408,0.7098808,9.640852,-0.4770447
22,1436170463427,0.6835446,9.573814,-0.4890157
23,1436170463504,0.62967503,9.60853,-0.5093664
24,1436170463506,0.59136784,9.673173,-0.5374983
25,1436170463507,0.65301853,9.710882,-0.6464345
26,1436170463508,0.6003461,9.8042555,-0.48003745
27,1436170463537,0.51954174,9.76954,-0.006584055
28,1436170463549,0.58657944,9.670779,-0.35673606
29,1436170463574,0.56682724,9.625888,-0.7344214
30,1436170463586,0.6398504,9.530719,-0.58657944
31,1436170463606,0.6991069,9.5798,-0.87328506
32,1436170463627,0.66738373,9.742605,-0.51834464
33,1436170463645,0.5093664,9.816826,-0.47345337
34,1436170463665,0.5446809,9.636662,-0.41180268
35,1436170463685,0.57041854,9.570223,-0.45609543
36,1436170463705,0.6218939,9.528923,-0.7433996
37,1436170463725,0.7182605,9.54209,-0.8355764
38,1436170463747,0.694917,9.794081,-0.32202014
39,1436170463765,0.6266823,9.789292,-0.4381389
40,1436170463785,0.5805939,9.755774,-0.41958386
41,1436170463805,0.5931635,9.834782,-0.3321955
42,1436170463825,0.55246204,9.728839,-0.39803603
43,1436170463845,0.58298814,9.630676,-0.3854665
44,1436170463865,0.6063316,9.543288,-0.4441244
45,1436170463885,0.6584055,9.630676,-0.42197806
46,1436170463905,0.6326678,9.752182,-0.44891283
47,1436170463925,0.5770026,9.779716,-0.4782418
48,1436170463945,0.6266823,9.670779,-0.37948096
49,1436170463965,0.5805939,9.687539,-0.3878607
50,1436170463985,0.5506664,9.651027,-0.12150574
51,1436170464008,0.6584055,9.685144,-0.4950012
