id,attr_time,attr_x,attr_y,attr_z
1,1436164600913,-0.75237787,9.555858,1.3323733
2,1436164600934,-0.7811083,9.562442,1.3227965
3,1436164600952,-0.7870938,9.569026,1.3078327
4,1436164600972,-0.7433996,9.5732155,1.30484
5,1436164600995,-0.7493851,9.553463,1.3790601
6,1436164601016,-0.6811504,9.574412,1.1474211
7,1436164601033,-0.7679402,9.565434,1.4221559
8,1436164601053,-0.75956047,9.580399,1.3700819
9,1436164601077,-0.6937199,9.580399,1.2150574
10,1436164601097,-0.6835446,9.610326,1.3587095
11,1436164601119,-0.7278373,9.616311,1.3688848
12,1436164601137,-0.7368156,9.603143,1.4047978
13,1436164601158,-0.74639237,9.55885,1.3670892
14,1436164601177,-0.7152678,9.562442,1.3102269
15,1436164601198,-0.7224504,9.579201,1.299453
16,1436164601219,-0.7032967,9.595362,1.3108255
17,1436164601238,-0.700304,9.605537,1.3335704
18,1436164601256,-0.7320272,9.582792,1.2946646
19,1436164601277,-0.7505822,9.563639,1.3102269
20,1436164601309,-0.7469909,9.562442,1.347337
21,1436164601314,-0.7517793,9.559449,1.3599066
22,1436164601334,-0.75237787,9.5809965,1.3521254
23,1436164601354,-0.7433996,9.578004,1.3509283
24,1436164601374,-0.74998367,9.557653,1.352724
25,1436164601394,-0.7332243,9.560047,1.3563153
26,1436164601414,-0.7236475,9.546281,1.3341689
27,1436164601434,-0.7392098,9.549872,1.3425486
28,1436164601454,-0.75357497,9.572019,1.3311762
29,1436164601474,-0.760159,9.589975,1.3664906
30,1436164601494,-0.79607207,9.587581,1.5819688
31,1436164601517,-0.7236475,9.539697,1.1875241
32,1436164601601,-0.7858967,9.60015,1.5729905
33,1436164601602,-0.7757214,9.548077,1.3227965
34,1436164601603,-0.7589619,9.509171,1.359308
35,1436164601604,-0.82899237,9.452907,1.5209166
36,1436164601614,-0.7553706,9.51755,1.2898762
37,1436164601640,-0.7374141,9.582792,1.3964181
38,1436164601654,-0.79487497,9.626487,1.4640543
39,1436164601674,-0.8571242,9.569624,1.4239515
40,1436164601697,-0.82899237,9.522339,1.3521254
41,1436164601715,-0.84694886,9.52174,1.3575124
42,1436164601734,-0.80205756,9.559449,1.3874398
43,1436164601759,-0.7811083,9.593566,1.4203602
44,1436164601779,-0.8146271,9.554062,1.4221559
45,1436164601794,-0.6889315,9.574412,0.997185
46,1436164601814,-0.81761986,9.561244,1.4562732
47,1436164601837,-0.8523358,9.559449,1.4748282
48,1436164601857,-0.74758947,9.589376,1.2210429
49,1436164601878,-0.78888947,9.594764,1.3682863
50,1436164601897,-0.84575176,9.597756,1.389834
51,1436164601918,-0.83258367,9.600749,1.3928268
52,1436164601938,-0.8086416,9.558251,1.3455414
53,1436164601957,-0.7846996,9.529521,1.2988545
54,1436164601978,-0.80924016,9.539098,1.3227965
55,1436164601997,-0.81761986,9.562442,1.3611037
56,1436164602018,-0.75596917,9.63726,1.2976574
57,1436164602039,-0.7445967,9.657013,1.2880806
58,1436164602058,-0.76315176,9.595961,1.299453
59,1436164602077,-0.78050977,9.577405,1.2856863
60,1436164602095,-0.7715315,9.561244,1.2826935
61,1436164602119,-0.7835025,9.531916,1.3347675
62,1436164602140,-0.76315176,9.566631,1.3072342
63,1436164602159,-0.7589619,9.603143,1.2892777
64,1436164602176,-0.7428011,9.60853,1.292869
65,1436164602195,-0.7326257,9.584588,1.2497733
66,1436164602215,-0.7433996,9.560047,1.2677298
67,1436164602235,-0.7260417,9.524135,1.2850877
68,1436164602261,-0.6889315,9.585187,1.2366052
69,1436164602279,-0.7266402,9.601347,1.4407109
70,1436164602342,-0.6973112,9.5385,1.2389994
71,1436164602343,-0.6745663,9.669582,1.3551182
72,1436164602344,-0.7194576,9.640253,1.2910733
73,1436164602355,-0.64463884,9.479243,1.2060791
74,1436164602377,-0.6853402,9.433753,1.2892777
75,1436164602396,-0.6865373,9.519346,1.2856863
76,1436164602415,-0.599149,9.6288805,1.2084733
77,1436164602439,-0.712275,9.637859,1.271321
78,1436164602456,-0.7140707,9.659407,1.1959038
79,1436164602477,-0.7386112,9.583989,1.2826935
80,1436164602504,-0.6865373,9.55885,1.2509704
81,1436164602516,-0.65421563,9.5570545,1.2509704
82,1436164602535,-0.65660983,9.578603,1.3012487
83,1436164602557,-0.6871359,9.61272,1.3186066
84,1436164602575,-0.59974754,9.592968,0.9636662
85,1436164602595,-0.712275,9.548077,1.3946224
86,1436164602615,-0.6733692,9.578004,1.2904748
87,1436164602638,-0.62249243,9.545682,1.2234371
88,1436164602659,-0.6877344,9.591172,1.2982559
89,1436164602678,-0.6967127,9.619903,1.2886791
90,1436164602698,-0.6859388,9.606734,1.3221979
91,1436164602721,-0.6853402,9.5732155,1.2844892
92,1436164602737,-0.7015011,9.603143,1.3036429
93,1436164602758,-0.7015011,9.582193,1.2791022
94,1436164602777,-0.6889315,9.60015,1.271321
95,1436164602799,-0.6973112,9.587581,1.2665327
96,1436164602817,-0.7505822,9.549872,1.2970588
97,1436164602840,-0.7745243,9.595362,1.2958617
98,1436164602861,-0.80564886,9.57142,1.2862848
99,1436164602880,-0.80445176,9.578004,1.2964603
100,1436164602899,-0.76075757,9.61272,1.3186066
101,1436164602917,-0.724246,9.592968,1.3724761
102,1436164602936,-0.6889315,9.545682,1.371279
103,1436164602958,-0.6913257,9.5732155,1.3198037
104,1436164602978,-0.7110779,9.563639,1.3389573
105,1436164602995,-0.7248446,9.57142,1.335366
106,1436164603093,-0.7320272,9.619903,1.3138182
107,1436164603096,-0.79367787,9.588778,1.6011224
108,1436164603097,-0.736217,9.515156,1.1947067
109,1436164603098,-0.7541735,9.6049385,1.4670471
110,1436164603099,-0.7505822,9.570223,1.3814543
111,1436164603116,-0.7086837,9.458294,1.2988545
112,1436164603136,-0.7811083,9.434352,1.448492
113,1436164603155,-0.6721721,9.554661,1.2982559
114,1436164603186,-0.66259533,9.615712,1.30484
115,1436164603195,-0.7062895,9.583391,1.4065934
116,1436164603216,-0.7625532,9.5732155,1.376666
117,1436164603235,-0.7368156,9.574412,1.3808558
118,1436164603256,-0.7517793,9.535507,1.3581109
119,1436164603277,-0.770933,9.622895,1.3617022
120,1436164603298,-0.75596917,9.592369,1.3892355
121,1436164603319,-0.7727286,9.559449,1.3880384
122,1436164603339,-0.6344634,9.522339,1.0737995
123,1436164603359,-0.7493851,9.524733,1.4981717
124,1436164603379,-0.8110358,9.534309,1.5209166
125,1436164603399,-0.7098808,9.622895,1.2671312
126,1436164603419,-0.6991069,9.626487,1.3479356
127,1436164603439,-0.7978677,9.562442,1.4622587
128,1436164603458,-0.8571242,9.533113,1.4945804
129,1436164603478,-0.8391677,9.519944,1.4700398
130,1436164603499,-0.8439561,9.527127,1.4544775
131,1436164603516,-0.87328506,9.592369,1.4873978
132,1436164603539,-0.87448215,9.53012,1.5316905
133,1436164603558,-0.8750807,9.471462,1.4951789
134,1436164603581,-0.87448215,9.462483,1.460463
135,1436164603607,-0.8798691,9.503783,1.4496891
136,1436164603626,-1.0103531,9.466674,1.5263035
137,1436164603638,-1.1617863,9.436148,1.6172832
138,1436164603657,-1.2252327,9.4535055,1.5753847
139,1436164603677,-1.2515689,9.530719,1.5089456
140,1436164603696,-1.2850877,9.585187,1.5939398
141,1436164603717,-1.3533225,9.552865,1.6573862
142,1436164603740,-1.4227544,9.43914,1.6783354
143,1436164603802,-1.4443022,9.383475,1.5753847
144,1436164603803,-1.4556746,9.357139,1.6220716
145,1436164603804,-1.4646529,9.258977,1.5975311
