id,attr_time,attr_x,attr_y,attr_z
1,1436164600922,-3.4985273,9.029732,-0.011971008
2,1436164600940,-3.5009215,9.074623,0.0005985504
3,1436164600962,-3.469797,9.050681,0.037110128
4,1436164600984,-3.430891,9.062054,0.04369418
5,1436164601000,-3.3943794,9.090784,0.004189853
6,1436164601021,-3.3680432,9.130288,-0.009576807
7,1436164601043,-3.3782187,9.18715,-0.045489833
8,1436164601063,-3.3770216,9.205706,-0.0664391
9,1436164601083,-3.3758245,9.156625,-0.04369418
10,1436164601103,-3.394978,9.136872,-0.030526072
11,1436164601120,-3.426701,9.164406,-0.037708677
12,1436164601143,-3.3859997,9.135675,-0.018555064
13,1436164601164,-3.3584664,9.181764,-0.031124622
14,1436164601181,-3.3063924,9.154829,-0.011372458
15,1436164601203,-3.3249476,9.156026,-0.008379706
16,1436164601223,-3.34051,9.168595,-0.01436521
17,1436164601243,-3.347094,9.139266,-0.008978256
18,1436164601263,-3.3824084,9.165603,-0.025737667
19,1436164601283,-3.3883939,9.147048,0.04070143
20,1436164601302,-3.3614593,9.130887,0.029927522
21,1436164601323,-3.3770216,9.108142,0.0712275
22,1436164601342,-3.366846,9.111135,0.061650693
23,1436164601363,-3.3662477,9.126099,0.0700304
24,1436164601385,-3.371036,9.105747,0.0688333
25,1436164601403,-3.366846,9.109339,0.038905777
26,1436164601420,-3.3824084,9.138668,-0.0023942017
27,1436164601443,-3.4183214,9.143456,-0.038307227
28,1436164601514,-3.448249,9.118318,-0.060453594
29,1436164601515,-3.4877534,9.103952,-0.05925649
30,1436164601516,-3.5230677,9.072228,-0.05865794
31,1436164601520,-3.5314474,9.0842,-0.04189853
32,1436164601547,-3.5236664,9.045294,-0.04189853
33,1436164601581,-3.5296519,9.088389,-0.06584055
34,1436164601582,-3.4919431,9.097966,-0.051475335
35,1436164601602,-3.453636,9.118318,-0.06464344
36,1436164601624,-3.4554317,9.128492,-0.0700304
37,1436164601645,-3.4757824,9.147048,-0.107739076
38,1436164601663,-3.5003228,9.173983,-0.089782566
39,1436164601683,-3.5087025,9.100959,-0.0676362
40,1436164601701,-3.5033157,9.036914,-0.032920275
41,1436164601722,-3.502717,9.033323,0.0005985504
42,1436164601740,-3.4662056,9.007586,-0.008379706
43,1436164601762,-3.3985693,9.084799,-0.02873042
44,1436164601785,-3.389591,9.109339,-0.0712275
45,1436164601803,-3.4045548,9.187749,-0.10594343
46,1436164601823,-3.4207156,9.209895,-0.1376666
47,1436164601843,-3.4183214,9.183559,-0.16519992
48,1436164601862,-3.459023,9.097368,-0.12808979
49,1436164601882,-3.478775,9.065644,-0.110731825
50,1436164601903,-3.5697548,9.083003,-0.109534726
51,1436164601921,-3.5565867,9.057265,-0.11611878
52,1436164601942,-3.5290532,9.096769,-0.12868834
53,1436164601962,-3.4925418,9.097966,-0.13826515
54,1436164601985,-3.4584243,9.120711,-0.17537527
55,1436164602005,-3.4452562,9.13388,-0.1945289
56,1436164602026,-3.4793737,9.100959,-0.18495208
57,1436164602044,-3.555988,9.116522,-0.20649989
58,1436164602060,-3.6170402,9.115923,-0.2220622
59,1436164602081,-3.6164417,9.101558,-0.20530279
60,1436164602102,-3.614646,9.091382,-0.21068975
61,1436164602123,-3.5595794,9.059659,-0.17417817
62,1436164602143,-3.5685577,9.037513,-0.15263036
63,1436164602213,-3.5571852,9.059061,-0.15263036
64,1436164602214,-3.5763388,9.062054,-0.1316811
65,1436164602215,-3.5889084,9.086594,-0.15801731
66,1436164602223,-3.5895069,9.090784,-0.14903906
67,1436164602241,-3.6050692,9.081207,-0.12749124
68,1436164602263,-3.578733,9.037513,-0.10295067
69,1436164602281,-3.5966895,9.053674,-0.12090719
70,1436164602304,-3.638588,9.01776,-0.10534488
71,1436164602321,-3.645172,9.017162,-0.08559271
72,1436164602342,-3.7062242,9.060258,-0.090381116
73,1436164602368,-3.655946,9.025542,-0.076015905
74,1436164602382,-3.6337996,9.000402,-0.048482586
75,1436164602402,-3.6409822,9.025542,-0.036511578
76,1436164602424,-3.6326025,9.042301,-0.04309563
77,1436164602444,-3.643975,9.085996,-0.039504327
78,1436164602464,-3.6577415,9.041702,-0.019153614
79,1436164602484,-3.66253,8.987235,0.038905777
80,1436164602504,-3.6355953,8.977658,0.08499416
81,1436164602524,-3.570952,8.953716,0.09756372
82,1436164602544,-3.4901476,9.001001,0.095169514
83,1436164602564,-3.4572272,9.075222,0.074220255
84,1436164602584,-3.4799721,9.128492,0.017357962
85,1436164602601,-3.477578,9.18715,-0.020350715
86,1436164602624,-3.4739866,9.141661,-0.05207389
87,1436164602644,-3.5110967,9.076419,-0.018555064
88,1436164602664,-3.5703533,9.059659,-0.019153614
89,1436164602683,-3.6254199,9.076419,-0.008379706
90,1436164602704,-3.602675,8.990826,-0.0035913025
91,1436164602724,-3.5769374,9.033323,-0.037110128
92,1436164602744,-3.5757403,9.036316,-0.054468088
93,1436164602764,-3.5751417,9.115324,-0.073023155
94,1436164602782,-3.5595794,9.120711,-0.11432313
95,1436164602801,-3.5942953,9.068039,-0.10534488
96,1436164602823,-3.6116533,9.063849,-0.12030864
97,1436164602841,-3.6296098,9.037513,-0.089184016
98,1436164602861,-3.6822822,9.011177,-0.076614454
99,1436164602892,-3.6984432,8.971672,-0.09636662
100,1436164602947,-3.757101,8.953117,-0.07062895
101,1436164602948,-3.7367504,8.975264,-0.0712275
102,1436164602949,-3.693056,9.018958,-0.11492168
103,1436164602971,-3.650559,9.076419,-0.16220717
104,1436164602981,-3.650559,9.097368,-0.18674773
105,1436164603010,-3.6487634,9.129689,-0.16938977
106,1436164603022,-3.6673183,9.085996,-0.15562311
107,1436164603042,-3.7259765,9.0554695,-0.11971009
108,1436164603064,-3.7511156,8.983644,-0.06823475
109,1436164603082,-3.7349546,8.9519205,-0.044891283
110,1436164603102,-3.7217865,8.954314,-0.05327099
111,1436164603122,-3.7223852,8.990228,-0.05207389
112,1436164603145,-3.6750996,9.001001,-0.061650693
113,1436164603164,-3.7283707,9.030331,-0.092775315
114,1436164603185,-3.7487214,9.062054,-0.12030864
115,1436164603202,-3.733159,9.074024,-0.10534488
116,1436164603224,-3.7307649,9.028535,-0.08738836
117,1436164603245,-3.7475243,8.937555,-0.038905777
118,1436164603265,-3.7469256,8.969278,-0.010175358
119,1436164603285,-3.6894648,8.945934,0.02813187
120,1436164603302,-3.6349967,9.006389,0.020949265
121,1436164603324,-3.6116533,9.039309,0.0077811554
122,1436164603345,-3.5745432,9.050082,0.007182605
123,1436164603363,-3.5727475,9.063849,-0.017956512
124,1436164603385,-3.5984852,9.098565,-0.0664391
125,1436164603403,-3.6721067,9.060258,-0.090381116
126,1436164603422,-3.743933,9.038112,-0.11731588
127,1436164603443,-3.8139634,9.052477,-0.11851298
128,1436164603467,-3.764882,8.93576,-0.08619126
129,1436164603487,-3.7373488,9.0016,-0.02932897
130,1436164603508,-3.681085,9.005191,-0.019153614
131,1436164603524,-3.627814,9.0016,-0.015562311
132,1436164603541,-3.6774938,9.021352,-0.019153614
133,1436164603562,-3.7630866,9.060258,-0.053869538
134,1436164603582,-3.8073792,8.9842415,-0.08798691
135,1436164603603,-3.9097314,8.969876,-0.1412579
136,1436164603625,-3.9043443,8.933365,-0.17717093
137,1436164603705,-3.821146,8.850765,-0.21068975
138,1436164603706,-3.834314,8.908226,-0.32621
139,1436164603707,-3.7924154,8.911219,-0.39444473
140,1436164603708,-3.7056258,9.005191,-0.44771573
141,1436164603722,-3.6595373,9.200318,-0.56982
142,1436164603744,-3.632004,9.279925,-0.66139823
143,1436164603762,-3.6116533,9.284714,-0.70509243
144,1436164603782,-3.5763388,9.192537,-0.7164649
145,1436164603804,-3.6134489,9.186552,-0.7146692
146,1436164603824,-3.602675,9.035717,-0.6302736
147,1436164603844,-3.6248214,8.89446,-0.4818331
148,1436164603864,-3.5649664,8.787319,-0.38067806
149,1436164603883,-3.401562,8.81605,-0.2885013
150,1436164603905,-3.2435448,8.896255,-0.22266077
151,1436164603946,-3.193865,9.050681,-0.16280572
152,1436164603947,-3.1615434,9.211691,-0.1316811
153,1436164603982,-3.0986955,9.246407,-0.010175358
154,1436164603983,-3.0466216,9.268554,0.12808979
155,1436164604002,-3.028665,9.280524,0.24660277
156,1436164604022,-2.9694088,9.149442,0.40402153
157,1436164604042,-3.116652,9.419987,0.57161564
158,1436164604064,-2.7539306,9.212888,0.7044938
159,1436164604086,-2.6126726,9.019556,0.92535895
160,1436164604103,-2.5079262,8.990228,1.158195
161,1436164604125,-2.697667,9.277532,1.3365631
162,1436164604144,-2.8215668,9.496002,1.5466543
163,1436164604163,-3.5392287,10.412383,1.5520413
164,1436164604183,-3.003526,10.2657385,1.6142905
165,1436164604207,-2.6390088,9.911396,1.6118963
166,1436164604226,-2.2720973,9.680356,1.620276
167,1436164604248,-2.059612,9.349358,1.5861586
168,1436164604264,-1.882441,8.82802,1.6089035
169,1436164604283,-2.2930467,8.868123,1.4951789
170,1436164604304,-2.4540567,8.698134,1.3102269
171,1436164604323,-2.5767596,8.418014,1.1893197
172,1436164604344,-2.6898856,8.488044,1.1486182
173,1436164604364,-2.779668,8.822633,1.0953473
174,1436164604405,-2.5360582,8.69993,1.1210849
175,1436164604406,-2.3481133,8.740632,1.1282675
176,1436164604423,-2.0787656,8.807071,1.1438298
177,1436164604445,-1.9135658,8.925584,1.1833342
178,1436164604463,-1.702876,8.935161,1.3215994
179,1436164604483,-1.7034745,8.994417,1.4862007
180,1436164604503,-1.8016368,9.248801,1.6035166
181,1436164604523,-1.7764976,9.52593,1.7848774
182,1436164604546,-1.9219455,9.8042555,2.0009542
183,1436164604563,-1.9644425,9.829395,2.2290018
184,1436164604584,-2.3828292,10.502765,2.4672248
185,1436164604610,-2.9622262,12.54023,2.60549
186,1436164604623,-3.1759086,14.395737,2.7515364
187,1436164604643,-3.657143,15.59583,2.456451
188,1436164604664,-2.4779987,14.829685,2.3427265
189,1436164604684,-2.3277626,15.626954,1.7465701
190,1436164604703,0.4369418,15.179837,0.9463082
191,1436164604724,3.6822822,12.83352,0.42437226
192,1436164604743,5.8825536,9.88506,0.16460137
193,1436164604764,4.622605,9.379884,0.054468088
194,1436164604783,1.5933412,10.759542,-0.7254431
195,1436164604803,0.7541735,10.810419,-1.0462662
196,1436164604823,0.33638534,10.685921,-0.95229375
197,1436164604844,-0.6368576,11.394006,-0.878672
198,1436164604863,-0.95229375,11.199477,-0.6159084
199,1436164604893,-0.64463884,10.05445,-0.23942018
200,1436164604903,-0.6757634,8.871715,0.0688333
201,1436164604923,-0.8702923,7.77936,0.28191724
202,1436164604945,-0.99419224,6.6642604,0.39085343
203,1436164604966,-1.2485762,5.887342,0.44951138
204,1436164604984,-1.5801731,5.5018754,0.3537433
205,1436164605003,-1.7776948,5.1906295,0.27353755
206,1436164605024,-1.899799,5.0362034,0.09935937
207,1436164605043,-2.292448,5.140351,0.13826515
208,1436164605064,-3.0544028,6.0447607,0.12389994
209,1436164605083,-3.3123782,6.5349736,0.14425065
210,1436164605103,-3.0669725,6.4745197,0.36511576
211,1436164605124,-3.245939,7.462128,0.545878
212,1436164605165,-3.645172,9.606734,0.6775591
213,1436164605166,-3.776853,11.733982,0.66379243
214,1436164605185,-3.9121256,13.054983,0.6123171
215,1436164605204,-3.7223852,14.192827,0.36990416
216,1436164605224,-2.7862523,14.541184,0.76195467
217,1436164605244,-2.5264814,15.046959,0.7212533
218,1436164605264,-1.7375919,13.735536,1.4131776
219,1436164605284,-0.641646,12.025476,2.1517887
220,1436164605308,0.51116204,10.93791,3.3375173
221,1436164605329,-0.3854665,12.576741,3.567959
222,1436164605344,0.50397944,11.856686,3.627814
223,1436164606563,-0.09876082,11.490373,3.2249897
224,1436164606564,-1.0923545,11.546637,2.3391352
225,1436164606565,-2.1266496,11.098322,1.6478093
226,1436164606566,-2.4756045,10.161591,1.0019734
227,1436164606567,-2.0039468,8.6017685,0.6961141
228,1436164606568,-1.572392,6.974908,0.39743748
229,1436164606569,-1.0809821,5.301361,0.19512744
230,1436164606570,-1.3730747,4.4645877,0.05805939
231,1436164606571,-1.8273745,4.4448357,-0.18734628
232,1436164606572,-2.2936451,4.585495,-0.18555063
233,1436164606573,-2.4762032,4.624999,-0.2112883
234,1436164606574,-2.2349873,4.4723687,0.08020575
235,1436164606575,-2.5342624,4.8733974,0.35793316
236,1436164606576,-3.0951042,5.9064956,0.6332663
