id,attr_time,attr_x,attr_y,attr_z
1,1436168796317,2.468422,9.726444,0.2112883
2,1436168796318,2.2146366,9.418191,0.044891283
3,1436168796319,2.2481554,9.508572,0.16340427
4,1436168796329,2.2888567,9.522339,0.07062895
5,1436168796348,2.2876596,9.585785,0.14903906
6,1436168796423,2.2990322,9.55885,0.11731588
7,1436168796424,2.3002293,9.595961,0.14724341
8,1436168796425,2.2409728,9.589376,0.11911154
9,1436168796426,2.303222,9.668385,0.18674773
10,1436168796459,2.2158337,9.551667,0.1340753
11,1436168796482,2.1930888,9.561843,0.17178397
12,1436168796486,2.232593,9.560646,0.16879122
13,1436168796508,2.244564,9.613917,0.23702596
14,1436168796526,2.3014264,9.663596,0.21308395
15,1436168796550,2.3008277,9.621698,0.24301147
16,1436168796569,2.3481133,9.585187,0.24660277
17,1436168796589,2.392406,9.565434,0.19572599
18,1436168796610,2.4378958,9.576208,0.17836803
19,1436168796628,2.468422,9.502586,0.1340753
20,1436168796649,2.3343468,9.425972,0.05207389
21,1436168796670,2.7012582,9.783905,0.13706805
22,1436168796689,2.415151,9.619304,0.15981296
23,1436168796709,2.2415714,9.3343935,-0.04189853
24,1436168796728,2.2810757,9.518148,0.11552023
25,1436168796748,2.2822728,9.542689,-0.034715924
26,1436168796770,2.2583308,9.577405,0.05805939
27,1436168796789,2.232593,9.498397,-0.035913024
28,1436168796806,2.292448,9.605537,0.010773907
29,1436168796826,2.3002293,9.582792,0.016759412
30,1436168796847,2.2900538,9.594165,0.06584055
31,1436168796872,2.2649148,9.556456,0.05207389
32,1436168796891,2.2463598,9.500193,0.0676362
33,1436168796912,2.2649148,9.560047,0.06943185
34,1436168796928,2.2822728,9.594764,0.10055647
35,1436168796947,2.3169887,9.619903,0.12210429
36,1436168796967,2.3624785,9.673173,0.10594343
37,1436168796988,2.2864625,9.632472,0.15083471
38,1436168797007,2.2667105,9.577405,0.08678981
39,1436168797080,2.2266076,9.580399,0.04309563
40,1436168797081,2.2026656,9.487623,0.01436521
41,1436168797086,2.1242554,9.479841,-0.03232172
42,1436168797087,2.505532,9.873688,0.13467385
43,1436168797108,2.1799207,9.578603,0.090381116
44,1436168797129,2.0859482,9.431359,-0.061650693
45,1436168797146,2.0973208,9.579201,0.108337626
46,1436168797166,2.1529858,9.527725,-0.07062895
47,1436168797189,2.082357,9.5798,0.0700304
48,1436168797208,2.1625626,9.594764,0.0011971008
49,1436168797228,2.0979192,9.5971575,0.01616086
50,1436168797247,2.1122844,9.680356,0.08200141
51,1436168797266,2.1021092,9.677961,0.108337626
52,1436168797290,2.0446482,9.634866,0.1376666
53,1436168797310,1.9973627,9.598953,0.11312603
54,1436168797330,2.0691888,9.620501,0.09995792
55,1436168797350,2.1080947,9.582792,0.08798691
56,1436168797371,2.15957,9.613917,0.091578215
57,1436168797390,2.1996727,9.667188,0.094570965
58,1436168797410,2.1499932,9.636064,0.108337626
59,1436168797427,2.0578163,9.528923,0.11492168
60,1436168797450,2.1374235,9.602545,0.04309563
61,1436168797470,2.2182279,9.638457,0.1400608
62,1436168797490,2.1404164,9.554062,0.045489833
63,1436168797510,2.416348,9.824008,0.1592144
64,1436168797530,2.1942859,9.636064,0.12509704
65,1436168797550,2.0638018,9.451111,0.0005985504
66,1436168797570,2.0919337,9.627085,0.074220255
67,1436168797590,2.0973208,9.543288,-0.046686932
68,1436168797610,2.0374656,9.560047,0.023942016
69,1436168797630,2.0572178,9.552865,-0.02873042
70,1436168797650,2.100912,9.643845,-0.061650693
71,1436168797670,2.0602105,9.679757,-0.027533319
72,1436168797690,1.9985598,9.60015,-0.02633622
73,1436168797709,1.9375077,9.504981,0.014963761
74,1436168797737,2.006341,9.53012,-0.0017956513
75,1436168797793,2.0769699,9.645041,0.05267244
76,1436168797794,2.148796,9.649231,0.08140286
77,1436168797795,2.191293,9.639654,0.11611878
78,1436168797816,2.244564,9.665991,0.13467385
79,1436168797827,2.2691047,9.662399,0.16280572
80,1436168797857,2.2756886,9.612122,0.12928689
81,1436168797869,2.3343468,9.633071,0.078410104
82,1436168797890,2.3253684,9.542689,0.076614454
83,1436168797909,2.255338,9.523536,0.061052144
84,1436168797928,2.5384524,9.734824,0.04369418
85,1436168797950,2.3397336,9.546879,0.13108255
86,1436168797969,2.2230163,9.321824,0.024540568
87,1436168797991,2.4181437,9.632472,0.18136078
88,1436168798009,2.3864205,9.434352,0.22984336
89,1436168798030,2.5252843,9.281721,0.11851298
90,1436168798051,2.7269957,9.509769,0.27832595
91,1436168798071,2.8401217,9.420585,0.19931729
92,1436168798088,2.9113493,9.32781,0.31184477
93,1436168798111,3.0142999,9.324219,0.27712885
94,1436168798130,3.0825348,9.3260145,0.35075054
95,1436168798151,3.1932666,9.301474,0.35434186
96,1436168798170,3.3303347,9.353547,0.3645172
97,1436168798189,3.4374752,9.345766,0.36870706
98,1436168798208,3.5033157,9.2625675,0.35194764
99,1436168798231,3.5284548,9.240421,0.3453636
100,1436168798250,3.4781766,9.207501,0.3369839
101,1436168798269,3.3770216,9.09258,0.31124622
102,1436168798287,3.3614593,9.238626,0.41479546
103,1436168798316,3.335123,9.28232,0.29628247
104,1436168798328,3.12982,9.23683,0.44951138
105,1436168798355,3.233968,9.419987,0.3549404
106,1436168798368,2.9125464,9.160814,0.35673606
107,1436168798388,2.895787,9.152434,0.19572599
108,1436168798411,2.7509377,9.059659,0.092176765
109,1436168798428,2.6743233,8.860342,-0.049679685
110,1436168798457,2.6114755,8.777742,-0.12270284
111,1436168798481,2.6779146,8.860342,-0.35913026
112,1436168798512,2.7994204,9.168595,-0.44831428
113,1436168798513,2.9017725,9.515755,-0.6727707
114,1436168798528,2.6479871,9.595362,-0.55006784
115,1436168798548,2.6701334,9.267356,-0.8110358
116,1436168798568,2.9993362,9.904813,-0.6919243
117,1436168798588,3.0113072,9.930551,-0.8343793
118,1436168798608,3.1334114,9.718663,-0.9504981
119,1436168798634,2.9885623,9.341577,-1.1540052
120,1436168798660,3.1854854,9.183559,-1.5472529
121,1436168798669,2.8269536,8.613739,-1.441908
122,1436168798689,2.5983074,8.078036,-1.685518
123,1436168798713,2.9137435,8.933964,-1.5346833
124,1436168798728,2.4390929,8.498817,-1.4095862
125,1436168798751,2.5540147,8.60117,-1.3850456
126,1436168798771,2.996942,9.57561,-1.3281834
127,1436168800056,2.4468741,9.424176,-1.3449428
128,1436168800057,1.8734628,8.993818,-1.4041992
129,1436168800058,1.4329298,8.571242,-1.388637
130,1436168800059,1.572392,8.774749,-1.2689269
131,1436168800060,1.5640123,8.710106,-1.2210429
132,1436168800061,1.6837224,8.441357,-1.3102269
133,1436168800062,1.4407109,8.1402855,-1.0109516
134,1436168800063,1.0887632,7.6973586,-0.74519527
135,1436168800064,1.4460979,9.76954,-0.031124622
136,1436168800065,0.9032126,11.23539,1.3275849
137,1436168800066,-0.676362,10.100538,2.1883004
138,1436168800067,-0.45070848,11.2371855,2.5073278
139,1436168800068,0.074818805,12.966996,3.0723593
140,1436168800069,1.0283096,14.611813,3.153762
141,1436168800070,1.5478514,16.304514,3.8013937
142,1436168800071,1.6711528,17.94574,4.109049
143,1436168800072,1.4047978,18.511967,4.1282024
144,1436168800073,1.8016368,17.122133,3.7684734
145,1436168800074,2.7605145,15.160085,3.1256304
146,1436168800075,1.7998412,12.289437,2.7090392
147,1436168800076,1.1911154,9.403826,1.9997569
148,1436168800077,0.830788,6.995259,1.3006501
149,1436168800078,0.46926352,5.419874,0.7613561
150,1436168800079,-0.62249243,3.4871547,0.52732295
151,1436168800080,-1.9189527,0.7398083,0.12569559
152,1436168800081,-1.9027919,-0.10175357,-1.186327
153,1436168800082,-1.0223241,0.98820674,-2.1033063
154,1436168800083,-1.4873978,1.54845,-1.6645688
155,1436168800084,-3.0190883,1.1887212,-2.3235726
156,1436168800085,-2.3247697,4.2634745,-4.466982
157,1436168800086,3.016694,13.397953,-3.7044287
158,1436168800087,2.4390929,15.887324,2.0667946
159,1436168800088,3.5511997,14.106636,-3.0544028
160,1436168800089,9.108741,19.593548,-3.0370448
161,1436168800090,10.217256,19.608511,-1.1755531
162,1436168800091,7.429208,19.608511,-2.2409728
163,1436168800092,6.897695,18.631678,-1.5233108
164,1436168800093,4.5561657,14.203602,-0.97982705
165,1436168800094,2.344522,9.500193,-0.9911995
166,1436168800095,1.021127,5.2606597,-0.49799395
167,1436168800096,-0.8170213,1.5011644,0.05865794
168,1436168800097,-1.4682442,-0.28550854,-0.08319851
169,1436168800098,-0.108337626,2.0632033,-0.7020996
170,1436168800099,-1.572392,0.41299978,1.7735049
171,1436168800100,-2.2840683,-1.3628993,1.0827777
172,1436168800101,-2.071583,-1.3012487,0.035314474
173,1436168800102,-1.9728222,-0.09935937,0.9056068
174,1436168800103,-0.41299978,3.0663738,0.0688333
175,1436168800104,7.9170265,16.00823,-2.1871033
176,1436168800105,8.990826,19.608511,5.7305217
177,1436168800106,-0.6404489,11.745355,2.183512
178,1436168800107,5.795764,16.865355,-2.949058
179,1436168800108,11.240178,19.608511,2.9442697
180,1436168800109,8.884284,19.608511,1.7495629
181,1436168800110,7.823054,17.0533,0.7930793
182,1436168800111,5.9681463,13.427281,2.3319526
183,1436168800112,2.4079683,8.619724,1.6196774
184,1436168800113,-0.87208796,3.0382419,1.4760253
185,1436168800114,-2.4570496,-0.7882909,0.82240826
186,1436168800115,-0.95468795,0.5470751,-1.3994108
187,1436168800116,-0.6835446,2.2840683,-0.688333
188,1436168800117,-2.0159178,0.5805939,-0.1412579
189,1436168800118,-1.9794062,0.02813187,-2.232593
190,1436168800119,-2.1877017,0.1352724,-2.2679076
191,1436168800120,-1.95307,1.7770962,-2.4079683
192,1436168800121,1.5574282,7.714118,-4.4184995
193,1436168800122,5.107431,16.7229,-1.851915
194,1436168800128,0.4369418,14.36102,2.1057005
195,1436168800148,5.5168395,17.204134,-3.7966053
196,1436168800168,13.681665,19.608511,-1.1671734
197,1436168800188,13.663709,19.608511,1.7435774
198,1436168800208,9.190144,19.608511,-2.1523874
199,1436168800228,7.065888,16.803705,-1.0923545
200,1436168800248,2.9747956,9.580399,-0.7104794
201,1436168800268,-0.48362875,2.554613,-0.21787235
202,1436168800290,-2.0949266,-2.1829133,0.5291186
203,1436168800314,-0.25318682,-1.388637,-0.82899237
204,1436168800334,0.9756372,2.4624364,-0.08020575
205,1436168800349,-1.151611,1.1599907,3.3399115
206,1436168800374,-2.7126305,-1.2276269,1.7184383
207,1436168800393,-3.2202013,-1.3120226,0.19093758
208,1436168800410,-3.0178912,0.26276365,1.7274165
209,1436168800434,-4.593276,0.95947635,2.3439236
210,1436168800450,-2.433706,4.2185836,0.7811083
211,1436168800473,9.725247,17.424402,-2.3894134
212,1436168800493,11.507132,19.608511,8.629301
213,1436168800514,-1.8315643,11.993155,3.968988
214,1436168800533,2.1769278,14.485518,-4.022857
215,1436168800551,11.825561,19.608511,2.191293
216,1436168800570,12.02428,19.608511,4.1946416
217,1436168800591,7.9607205,17.505205,-0.20530279
218,1436168800610,6.3524156,13.360843,2.3002293
219,1436168800643,3.7086184,9.519944,1.4640543
220,1436168800650,-0.007182605,4.4005427,0.88405895
221,1436168800672,-2.4881742,-0.18136078,0.74399817
222,1436168800689,-2.1613655,-1.5693992,-0.49200845
223,1436168800712,-0.51235914,-0.12030864,-1.4030021
224,1436168800730,-0.142455,1.5861586,-1.1779473
225,1436168800749,-1.2886791,0.741604,-0.92895025
226,1436168800769,-1.690905,-0.62368953,-2.1045034
227,1436168800794,-2.60968,0.29448682,-2.7090392
228,1436168800814,-3.2148144,1.702876,-1.8752584
