id,attr_time,attr_x,attr_y,attr_z
1,1436167051111,-1.6394296,9.512762,1.2910733
2,1436167051128,-1.6262615,9.512762,1.3120226
3,1436167051150,-1.638831,9.518148,1.323395
4,1436167051172,-1.6232687,9.537302,1.3120226
5,1436167051190,-1.6214731,9.529521,1.3150153
6,1436167051210,-1.6621746,9.499594,1.3138182
7,1436167051230,-1.6849195,9.490017,1.292869
8,1436167051250,-1.7723078,9.4696665,1.287482
9,1436167051270,-1.8136078,9.440337,1.3018472
10,1436167051290,-1.8411411,9.451111,1.2844892
11,1436167051315,-1.8992004,9.426571,1.2922704
12,1436167051361,-1.9297266,9.427768,1.2737153
13,1436167051362,-1.9680338,9.443929,1.2485762
14,1436167051507,-1.965041,9.437345,1.2419921
15,1436167051508,-1.9165585,9.4295635,1.2330139
16,1436167051509,-1.9309237,9.491813,1.2156559
17,1436167051510,-1.9111716,9.52174,1.2395979
18,1436167051511,-1.8321629,9.509769,1.2467805
19,1436167051512,-1.8154035,9.439739,1.3144168
20,1436167051513,-1.8022354,9.440337,1.3563153
21,1436167051514,-1.7806876,9.433753,1.3670892
22,1436167051549,-1.7232267,9.456498,1.365892
23,1436167051550,-1.644218,9.463082,1.3431472
24,1436167051567,-1.6394296,9.524135,1.3018472
25,1436167051593,-1.6292542,9.566631,1.2605472
26,1436167051619,-1.6681601,9.567828,1.2204443
27,1436167051630,-1.7286136,9.516354,1.2240356
28,1436167051648,-1.7645266,9.496002,1.2491747
29,1436167051675,-1.7938557,9.463082,1.2515689
30,1436167051691,-1.7603368,9.461287,1.2330139
31,1436167051709,-1.75076,9.524733,1.1827357
32,1436167051731,-1.7172412,9.52593,1.1815386
33,1436167051751,-1.6980876,9.585187,1.127669
34,1436167051771,-1.6591818,9.5809965,1.1390414
35,1436167051791,-1.6867151,9.603143,1.1324574
36,1436167051808,-1.7118542,9.551069,1.2072762
37,1436167051831,-1.7429788,9.482835,1.2593501
38,1436167051851,-1.7220296,9.454702,1.2665327
39,1436167051872,-1.7429788,9.479243,1.2300211
40,1436167051889,-1.7417817,9.512163,1.2012907
41,1436167051910,-1.75076,9.543886,1.1941081
42,1436167051930,-1.7351977,9.516952,1.2210429
43,1436167051949,-1.7154455,9.479841,1.2491747
44,1436167051970,-1.7369933,9.51755,1.2587515
45,1436167051988,-1.7723078,9.553463,1.2479776
46,1436167052011,-1.7226281,9.536704,1.2401965
47,1436167052030,-1.7369933,9.497798,1.2569559
48,1436167052051,-1.7441759,9.460688,1.3126211
49,1436167052071,-1.7130513,9.454104,1.3401544
50,1436167052090,-1.6723499,9.459491,1.328782
51,1436167052110,-1.6418238,9.523536,1.3144168
52,1436167052129,-1.6023195,9.528923,1.2880806
53,1436167052151,-1.6184803,9.518148,1.271321
54,1436167052170,-1.6136919,9.473856,1.2162545
55,1436167052225,-1.7938557,9.542689,1.2348095
56,1436167052230,-1.8764555,9.507974,1.2000936
57,1436167052231,-1.8980033,9.467272,1.1725603
58,1436167052248,-1.9237411,9.449914,1.1994951
59,1436167052268,-1.9219455,9.452309,1.1821371
60,1436167052290,-1.8968062,9.444528,1.1971009
61,1436167052308,-1.9452889,9.465476,1.1384429
62,1436167052328,-1.9937714,9.52593,1.127669
63,1436167052348,-2.0141222,9.510966,1.0995371
64,1436167052370,-1.9734207,9.439739,1.1180922
65,1436167052395,-1.9608512,9.449914,1.1288661
66,1436167052410,-2.007538,9.443929,1.1563994
67,1436167052433,-2.0033484,9.367912,1.1947067
68,1436167052451,-1.9524715,9.321226,1.2413936
69,1436167052471,-1.9387048,9.426571,1.2988545
70,1436167052491,-1.8776526,9.417592,1.3090298
71,1436167052511,-1.6915035,9.365519,1.3006501
72,1436167052532,-1.6543933,9.469068,1.2425907
73,1436167052551,-1.6256629,9.474455,1.1988965
74,1436167052571,-1.620276,9.479243,1.2072762
75,1436167052591,-1.5981296,9.414001,1.1994951
76,1436167052611,-1.5676036,9.375694,1.2401965
77,1436167052629,-1.543063,9.32781,1.2533646
78,1436167052652,-1.5328877,9.315839,1.2689269
79,1436167052672,-1.4652514,9.312247,1.2868834
80,1436167052692,-1.395221,9.473258,1.2868834
81,1436167052712,-1.3964181,9.414001,1.2868834
82,1436167052730,-1.5269021,9.561843,1.347337
83,1436167052751,-1.6496049,9.65821,1.4209588
84,1436167052772,-1.5029601,9.390059,1.5831659
85,1436167052792,-1.5119383,9.407417,1.7064673
86,1436167052812,-1.5592239,9.653421,1.6932992
87,1436167052830,-1.2689269,9.438541,1.7160441
88,1436167052850,-1.1994951,9.501988,1.7465701
89,1436167052870,-1.1971009,9.814431,1.8106151
90,1436167052890,-1.2138603,9.894038,1.881244
91,1436167052909,-1.234211,10.107122,1.9285295
92,1436167052963,-0.90261406,9.797073,1.9674352
93,1436167052966,-0.6865373,9.210494,2.03148
94,1436167052969,-0.89303726,9.119514,1.9512744
95,1436167052989,-1.2228385,9.173384,1.846528
96,1436167053010,-1.584363,9.194333,1.7711107
97,1436167053032,-1.8471266,9.182362,1.780089
98,1436167053049,-1.9776106,9.053075,1.7884687
99,1436167053074,-1.9482816,8.825027,1.8088194
100,1436167053091,-2.0494366,8.827422,1.7663223
101,1436167053110,-2.03567,9.077017,1.75076
102,1436167053132,-1.9482816,9.251195,1.8495208
103,1436167053150,-1.8405426,9.189545,1.9249382
104,1436167053172,-1.6819267,9.066243,2.022502
105,1436167053192,-1.7591397,9.051279,2.0332758
106,1436167053212,-1.763928,9.075222,2.0697873
107,1436167053233,-1.7896658,9.1668,2.110489
108,1436167053252,-1.7100586,9.299079,2.1613655
109,1436167053272,-1.8189948,9.677363,2.2541409
110,1436167053292,-1.8070238,9.776723,2.3062148
111,1436167053312,-1.5693992,9.870695,2.212841
112,1436167053332,-1.3682863,9.876082,2.100912
113,1436167053352,-1.5191209,10.330381,2.1170728
114,1436167053370,-2.2110453,11.85489,1.7830818
115,1436167053392,-0.7140707,10.168773,1.5867572
116,1436167053412,-0.35194764,9.910798,1.2395979
117,1436167053430,0.427365,9.941324,0.7044938
118,1436167053449,1.7405846,9.744401,0.46806642
119,1436167053471,1.7429788,10.246585,0.29807812
120,1436167053495,1.6412252,10.968436,0.27234045
121,1436167053515,1.1725603,11.562798,0.338181
122,1436167053535,0.85652566,11.503541,0.40641573
123,1436167053553,0.7344214,11.270106,0.5105635
124,1436167053569,0.40821138,11.337144,0.55246204
125,1436167053590,0.011372458,11.294048,0.5793968
126,1436167053609,-0.06823475,10.667366,0.6392518
127,1436167053631,-0.13347675,9.960478,0.7212533
128,1436167053650,-0.29867667,9.481637,0.6787562
129,1436167053704,-0.52612585,8.931569,0.7080852
130,1436167053705,-0.82779527,8.459911,0.6398504
131,1436167053710,-1.1959038,8.046912,0.5943606
132,1436167053729,-1.7262194,7.8039002,0.5554548
133,1436167053751,-2.0446482,7.641693,0.57879823
134,1436167053770,-2.3127987,7.6800003,0.6464345
135,1436167053790,-2.3253684,7.6602483,0.61112
136,1436167053814,-2.1033063,7.72968,0.5883751
137,1436167053831,-1.8770541,7.953538,0.45729253
138,1436167053853,-1.3820529,8.100781,0.3274071
139,1436167053871,-1.1288661,8.045714,0.3393781
140,1436167053891,-1.2246342,8.313267,0.37110126
141,1436167053913,-1.5388732,8.902241,0.48722005
142,1436167053933,-1.8100165,9.620501,0.40880993
143,1436167053954,-1.6238673,9.994595,0.52373165
144,1436167053970,-1.6214731,10.714052,0.50278234
145,1436167053992,-1.2623428,10.915166,0.8218097
146,1436167054013,-2.8167782,14.030022,0.92535895
147,1436167054033,-2.801216,14.464569,0.7080852
148,1436167054053,-0.55844754,10.5919485,1.7555484
149,1436167054073,-0.6512229,9.768343,2.1003134
150,1436167054093,-2.180519,11.192294,2.5420437
151,1436167054111,-3.2573113,11.88781,2.6048915
152,1436167054133,-2.8802247,10.892421,2.9640217
153,1436167054153,-2.6755204,10.278308,3.1052797
154,1436167054173,-2.3768437,9.998785,3.2794578
155,1436167054193,-2.2218192,10.181941,3.1172507
156,1436167054213,-1.7106571,9.726444,2.6964695
157,1436167054233,-1.2150574,8.439561,2.1068976
158,1436167054271,-1.1737574,7.451953,1.5298948
159,1436167054272,-1.769315,7.3507977,0.9091981
160,1436167054290,-2.1122844,7.29214,0.4842273
161,1436167054311,-2.2266076,7.0527196,0.2100912
162,1436167054330,-2.3229742,6.9360023,0.020350715
163,1436167054350,-2.486977,7.1006036,-0.19632454
164,1436167054370,-2.4905684,6.9479733,-0.019752163
165,1436167054436,-2.7682958,7.1706343,0.06703765
