id,attr_time,attr_x,attr_y,attr_z
1,1436281856021,-2.9101522,9.302073,-0.94810385
2,1436281856047,-2.8550856,9.300875,-0.93254155
3,1436281856061,-2.8712463,9.301474,-0.9115923
4,1436281856088,-2.8293478,9.348759,-0.9175778
5,1436281856105,-2.8119898,9.333796,-0.88046765
6,1436281856118,-2.8083985,9.34038,-0.8888474
7,1436281856139,-2.8209682,9.3583355,-0.8882488
8,1436281856158,-2.818574,9.315839,-0.866701
9,1436281856178,-2.855684,9.304466,-0.88405895
10,1436281856198,-2.8790276,9.27394,-0.89423436
11,1436281856221,-2.9376855,9.282919,-0.8870517
12,1436281856240,-2.9724014,9.287108,-0.8846575
13,1436281856261,-2.9963434,9.25359,-0.8888474
14,1436281856279,-2.9622262,9.275736,-0.8655039
15,1436281856303,-2.9418752,9.324219,-0.88944596
16,1436281856374,-2.8496985,9.348759,-0.85173726
17,1436281856375,-2.7647045,9.268554,-0.83976626
18,1436281856382,-2.759916,9.359533,-0.85413146
19,1436281856383,-2.7647045,9.390657,-0.91338795
20,1436281856399,-2.813187,9.424775,-0.8882488
21,1436281856421,-2.7778726,9.317635,-0.8463503
22,1436281856438,-2.771887,9.248801,-0.825401
23,1436281856458,-2.7964275,9.297882,-0.8110358
24,1436281856480,-2.801216,9.31943,-0.8194155
25,1436281856500,-2.755726,9.337985,-0.8283938
26,1436281856519,-2.7485435,9.372701,-0.82121116
27,1436281856539,-2.7126305,9.3978405,-0.866701
28,1436281856561,-2.6922798,9.375095,-0.83976626
29,1436281856581,-2.7018566,9.399037,-0.90979666
30,1436281856601,-2.7754784,9.403826,-0.9115923
31,1436281856621,-2.8089972,9.359533,-0.8655039
32,1436281856641,-2.8173769,9.314642,-0.8714894
33,1436281856662,-2.8700492,9.305663,-0.84216046
34,1436281856681,-2.8658595,9.3026705,-0.8535329
35,1436281856700,-2.8658595,9.273342,-0.81761986
36,1436281856721,-2.834735,9.284714,-0.82480246
37,1436281856741,-2.8329391,9.297284,-0.8110358
38,1436281856759,-2.8335378,9.342773,-0.83258367
39,1436281856781,-2.7790697,9.357139,-0.83856916
40,1436281856801,-2.7832594,9.359533,-0.8499416
41,1436281856821,-2.7473464,9.340978,-0.8319851
42,1436281856841,-2.7539306,9.354745,-0.8355764
43,1436281856861,-2.7928362,9.345168,-0.86011696
44,1436281856881,-2.7988217,9.341577,-0.84096336
45,1436281856900,-2.8215668,9.372103,-0.8451532
46,1436281856921,-2.7970262,9.361927,-0.8379706
47,1436281856943,-2.7389667,9.281123,-0.830788
48,1436281856962,-2.7222073,9.402629,-0.8631097
